ID,Gender,Status,TotalDollarValueTraded,TotalUnitsTraded,Offer Accepted,Offer Cost
1,M,M,29782.98,45,2 Free Trades,10
3,M,S,26132.61,32,5 Free Trades and Consult,50
8,M,S,9380.94,38,5 Free Trades,20
10,F,M,17441.74,49,2 Free Trades,10
24,M,S,21372.14,293,2 Free Trades,10
25,F,M,0,0,5 Free Trades and Consult,50
26,F,M,12371.24,163,2 Free Trades,10
37,F,M,14221.42,10,5 Free Trades and Consult,50
38,F,M,18851.89,31,5 Free Trades and Consult,50
47,F,S,9370.94,11,5 Free Trades and Consult,50
49,F,M,22862.29,16,5 Free Trades,20
50,F,S,1900.19,25,5 Free Trades and Consult,50
51,M,S,29442.94,104,2 Free Trades,10
52,F,S,22382.24,40,5 Free Trades and Consult,50
55,M,S,25532.55,179,2 Free Trades,10
56,F,S,27972.8,58,2 Free Trades,10
61,F,S,22152.22,34,5 Free Trades and Consult,50
63,M,M,20592.06,112,5 Free Trades,20
65,M,M,15541.55,12,5 Free Trades and Consult,50
68,F,S,28522.85,161,5 Free Trades and Consult,50
69,M,M,6110.61,58,5 Free Trades and Consult,50
72,M,M,11551.16,15,2 Free Trades,10
76,F,S,29922.99,8,2 Free Trades,10
77,M,M,680.07,10,5 Free Trades,20
79,M,M,11961.2,25,2 Free Trades,10
80,F,M,16011.6,10,2 Free Trades,10
83,M,M,29432.94,10,5 Free Trades,20
86,F,S,11721.17,28,5 Free Trades and Consult,50
88,M,M,21812.18,29,5 Free Trades and Consult,50
98,M,S,24072.41,27,2 Free Trades,10
99,F,M,25872.59,68,5 Free Trades and Consult,50
100,M,M,15251.53,70,2 Free Trades,10
105,F,S,2200.22,9,5 Free Trades,20
112,F,M,17581.76,8,2 Free Trades,10
113,M,M,13561.36,144,2 Free Trades,10
114,F,M,10911.09,93,2 Free Trades,10
118,F,M,25002.5,10,5 Free Trades and Consult,50
122,F,M,0,0,5 Free Trades and Consult,50
123,F,M,80.01,10,5 Free Trades,20
127,F,S,20152.02,37,5 Free Trades and Consult,50
128,F,M,21632.16,139,2 Free Trades,10
145,M,S,20412.04,80,5 Free Trades and Consult,50
148,F,S,22992.3,65,5 Free Trades and Consult,50
149,F,S,12341.23,7,5 Free Trades and Consult,50
156,F,S,22962.3,75,5 Free Trades and Consult,50
158,F,M,21942.19,256,2 Free Trades,10
167,F,S,18971.9,104,2 Free Trades,10
168,F,M,170.02,10,5 Free Trades,20
170,F,M,29682.97,59,2 Free Trades,10
172,M,M,26402.64,17,2 Free Trades,10
175,M,S,4910.49,82,5 Free Trades and Consult,50
177,F,M,6700.67,46,5 Free Trades and Consult,50
181,F,M,26612.66,236,2 Free Trades,10
183,F,S,25032.5,54,5 Free Trades and Consult,50
187,M,M,6900.69,128,5 Free Trades and Consult,50
188,F,M,0,0,5 Free Trades and Consult,50
189,M,S,1710.17,116,5 Free Trades and Consult,50
197,F,M,27392.74,51,5 Free Trades,20
199,F,S,20442.04,100,5 Free Trades and Consult,50
203,F,S,10871.09,32,5 Free Trades and Consult,50
204,F,M,21872.19,192,2 Free Trades,10
210,F,M,11141.11,12,2 Free Trades,10
211,F,M,2400.24,50,5 Free Trades and Consult,50
