ID,TotalDollarValueTraded,TotalUnitsTraded,LargestSingleTransaction,SmallestSingleTransaction,PercentChangeCalculation,DaysSinceLastLogin,DaysSinceLastTrade,NetRealizedGains_YTD,NetRealizedLosses_YTD
0,59755.98,206,29877.99,2987.799,51.5,3,10,2987.799,0
1,29782.98,45,14891.49,1489.149,11.25,3,9,1489.149,0
2,24812.48,22,12406.24,1240.624,5.5,1,9,1240.624,0
3,26132.61,32,13066.305,1306.6305,8,3,5,0,1306.6305
4,5030.5,23,1257.625,125.7625,3.45,2,19,0,251.525
5,12451.25,46,6225.625,622.5625,11.5,2,8,0,622.5625
6,26522.65,32,13261.325,1326.1325,8,4,10,0,1326.1325
7,20222.02,13,10111.01,1011.101,3.25,3,10,0,1011.101
8,9380.94,38,2345.235,234.5235,5.7,2,15,0,234.5235
9,9650.97,6,2412.7425,241.27425,0.9,3,11,0,241.27425
10,17441.74,49,8720.87,872.087,12.25,2,8,872.087,0
11,22392.24,178,11196.12,1119.612,44.5,1,5,0,1119.612
12,370.04,28,92.51,9.251,4.2,5,13,0,9.251
13,22172.22,13,11086.11,1108.611,3.25,4,9,0,1108.611
14,28922.89,45,14461.445,1446.1445,11.25,5,6,0,1446.1445
15,26492.65,12,13246.325,1324.6325,3,1,9,1324.6325,0
16,13191.32,87,6595.66,659.566,21.75,1,7,659.566,0
17,13321.33,56,6660.665,666.0665,14,3,7,0,666.0665
18,11541.15,22,5770.575,577.0575,5.5,2,9,577.0575,0
19,14831.48,25,7415.74,741.574,6.25,5,7,0,741.574
20,4790.48,91,1197.62,119.762,13.65,3,13,0,119.762
21,16791.68,81,8395.84,839.584,20.25,1,6,0,839.584
22,3280.33,11,820.0825,82.00825,1.65,4,15,0,164.0165
23,11051.11,50,5525.555,552.5555,12.5,1,7,552.5555,0
24,21372.14,293,10686.07,1068.607,73.25,3,9,1068.607,0
25,0,0,0,0,0,0,0,0,0
26,12371.24,163,6185.62,618.562,40.75,2,5,618.562,0
27,0,0,0,0,0,0,0,0,0
28,18311.83,59,9155.915,915.5915,14.75,4,8,915.5915,0
29,20452.05,39,10226.025,1022.6025,9.75,3,8,0,1022.6025
30,26912.69,9,13456.345,1345.6345,2.25,3,6,1345.6345,0
31,28822.88,13,14411.44,1441.144,3.25,3,6,0,1441.144
32,23762.38,50,11881.19,1188.119,12.5,1,8,0,1188.119
33,9570.96,111,2392.74,239.274,16.65,1,19,0,478.548
34,18661.87,20,9330.935,933.0935,5,1,10,933.0935,0
35,20972.1,13,10486.05,1048.605,3.25,2,7,0,1048.605
36,11701.17,47,5850.585,585.0585,11.75,3,5,585.0585,0
37,14221.42,10,7110.71,711.071,2.5,4,10,0,711.071
38,18851.89,31,9425.945,942.5945,7.75,1,9,0,942.5945
39,16801.68,56,8400.84,840.084,14,4,8,840.084,0
40,24772.48,20,12386.24,1238.624,5,4,5,1238.624,0
41,15591.56,24,7795.78,779.578,6,1,10,779.578,0
42,8210.82,45,2052.705,205.2705,6.75,5,15,0,410.541
43,2910.29,17,727.5725,72.75725,2.55,1,13,0,72.75725
44,11641.16,74,5820.58,582.058,18.5,2,5,582.058,0
45,16211.62,125,8105.81,810.581,31.25,4,8,0,810.581
